Province,Main_Purpose_of_Aquacultural_Activity,engagement,gender,count_registered_fishermen
MOUNTAIN PROVINCE,Tilapia,Aquaculture but are also farmers and farm workers,Male,590
MOUNTAIN PROVINCE,Prawn,Aquaculture but are also farmers and farm workers,Male,0
MOUNTAIN PROVINCE,Oyster,Aquaculture but are also farmers and farm workers,Male,0
MOUNTAIN PROVINCE,Mussel,Aquaculture but are also farmers and farm workers,Male,1
MOUNTAIN PROVINCE,Seaweed,Aquaculture but are also farmers and farm workers,Male,0
MOUNTAIN PROVINCE,Other species,Aquaculture but are also farmers and farm workers,Male,41
COTABATO (NORTH COTABATO),Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,21
COTABATO (NORTH COTABATO),Tilapia,Aquaculture but are also farmers and farm workers,Male,"4,109"
COTABATO (NORTH COTABATO),Prawn,Aquaculture but are also farmers and farm workers,Male,53
COTABATO (NORTH COTABATO),Oyster,Aquaculture but are also farmers and farm workers,Male,7
COTABATO (NORTH COTABATO),Mussel,Aquaculture but are also farmers and farm workers,Male,27
COTABATO (NORTH COTABATO),Seaweed,Aquaculture but are also farmers and farm workers,Male,6
COTABATO (NORTH COTABATO),Other species,Aquaculture but are also farmers and farm workers,Male,865
NORTHERN SAMAR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,65
NORTHERN SAMAR,Tilapia,Aquaculture but are also farmers and farm workers,Male,149
NORTHERN SAMAR,Prawn,Aquaculture but are also farmers and farm workers,Male,49
NORTHERN SAMAR,Oyster,Aquaculture but are also farmers and farm workers,Male,20
NORTHERN SAMAR,Mussel,Aquaculture but are also farmers and farm workers,Male,4
NORTHERN SAMAR,Seaweed,Aquaculture but are also farmers and farm workers,Male,138
NORTHERN SAMAR,Other species,Aquaculture but are also farmers and farm workers,Male,225
ROMBLON,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,50
ROMBLON,Tilapia,Aquaculture but are also farmers and farm workers,Male,104
ROMBLON,Prawn,Aquaculture but are also farmers and farm workers,Male,15
ROMBLON,Oyster,Aquaculture but are also farmers and farm workers,Male,4
ROMBLON,Mussel,Aquaculture but are also farmers and farm workers,Male,0
ROMBLON,Seaweed,Aquaculture but are also farmers and farm workers,Male,51
ROMBLON,Other species,Aquaculture but are also farmers and farm workers,Male,3
SAMAR (WESTERN SAMAR),Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,113
SAMAR (WESTERN SAMAR),Tilapia,Aquaculture but are also farmers and farm workers,Male,95
SAMAR (WESTERN SAMAR),Prawn,Aquaculture but are also farmers and farm workers,Male,96
SAMAR (WESTERN SAMAR),Oyster,Aquaculture but are also farmers and farm workers,Male,13
SAMAR (WESTERN SAMAR),Mussel,Aquaculture but are also farmers and farm workers,Male,53
SAMAR (WESTERN SAMAR),Seaweed,Aquaculture but are also farmers and farm workers,Male,44
SAMAR (WESTERN SAMAR),Other species,Aquaculture but are also farmers and farm workers,Male,165
SIQUIJOR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,4
SIQUIJOR,Tilapia,Aquaculture but are also farmers and farm workers,Male,12
SIQUIJOR,Prawn,Aquaculture but are also farmers and farm workers,Male,0
SIQUIJOR,Oyster,Aquaculture but are also farmers and farm workers,Male,0
SIQUIJOR,Mussel,Aquaculture but are also farmers and farm workers,Male,0
SIQUIJOR,Seaweed,Aquaculture but are also farmers and farm workers,Male,11
SIQUIJOR,Other species,Aquaculture but are also farmers and farm workers,Male,2
SULTAN KUDARAT,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,188
SULTAN KUDARAT,Tilapia,Aquaculture but are also farmers and farm workers,Male,"1,499"
SULTAN KUDARAT,Prawn,Aquaculture but are also farmers and farm workers,Male,138
SULTAN KUDARAT,Oyster,Aquaculture but are also farmers and farm workers,Male,69
SULTAN KUDARAT,Mussel,Aquaculture but are also farmers and farm workers,Male,71
SULTAN KUDARAT,Seaweed,Aquaculture but are also farmers and farm workers,Male,26
SULTAN KUDARAT,Other species,Aquaculture but are also farmers and farm workers,Male,139
SURIGAO DEL NORTE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,108
SURIGAO DEL NORTE,Tilapia,Aquaculture but are also farmers and farm workers,Male,84
SURIGAO DEL NORTE,Prawn,Aquaculture but are also farmers and farm workers,Male,63
SURIGAO DEL NORTE,Oyster,Aquaculture but are also farmers and farm workers,Male,9
SURIGAO DEL NORTE,Mussel,Aquaculture but are also farmers and farm workers,Male,0
SURIGAO DEL NORTE,Seaweed,Aquaculture but are also farmers and farm workers,Male,37
SURIGAO DEL NORTE,Other species,Aquaculture but are also farmers and farm workers,Male,115
SURIGAO DEL SUR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,147
SURIGAO DEL SUR,Tilapia,Aquaculture but are also farmers and farm workers,Male,169
SURIGAO DEL SUR,Prawn,Aquaculture but are also farmers and farm workers,Male,109
SURIGAO DEL SUR,Oyster,Aquaculture but are also farmers and farm workers,Male,14
SURIGAO DEL SUR,Mussel,Aquaculture but are also farmers and farm workers,Male,14
SURIGAO DEL SUR,Seaweed,Aquaculture but are also farmers and farm workers,Male,136
SURIGAO DEL SUR,Other species,Aquaculture but are also farmers and farm workers,Male,90
ZAMBOANGA DEL NORTE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,114
ZAMBOANGA DEL NORTE,Tilapia,Aquaculture but are also farmers and farm workers,Male,401
ZAMBOANGA DEL NORTE,Prawn,Aquaculture but are also farmers and farm workers,Male,305
ZAMBOANGA DEL NORTE,Oyster,Aquaculture but are also farmers and farm workers,Male,13
ZAMBOANGA DEL NORTE,Mussel,Aquaculture but are also farmers and farm workers,Male,40
ZAMBOANGA DEL NORTE,Seaweed,Aquaculture but are also farmers and farm workers,Male,198
ZAMBOANGA DEL NORTE,Other species,Aquaculture but are also farmers and farm workers,Male,109
SARANGANI,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,55
SARANGANI,Tilapia,Aquaculture but are also farmers and farm workers,Male,171
SARANGANI,Prawn,Aquaculture but are also farmers and farm workers,Male,29
SARANGANI,Oyster,Aquaculture but are also farmers and farm workers,Male,1
SARANGANI,Mussel,Aquaculture but are also farmers and farm workers,Male,2
SARANGANI,Seaweed,Aquaculture but are also farmers and farm workers,Male,1
SARANGANI,Other species,Aquaculture but are also farmers and farm workers,Male,23
APAYAO,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Male,1
APAYAO,Tilapia,Aquaculture but are also farmers and farm workers,Male,693
APAYAO,Prawn,Aquaculture but are also farmers and farm workers,Male,4
APAYAO,Oyster,Aquaculture but are also farmers and farm workers,Male,1
APAYAO,Mussel,Aquaculture but are also farmers and farm workers,Male,0
APAYAO,Seaweed,Aquaculture but are also farmers and farm workers,Male,0
APAYAO,Other species,Aquaculture but are also farmers and farm workers,Male,29
ABRA,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
ABRA,Tilapia,Aquaculture but are also farmers and farm workers,Female,144
ABRA,Prawn,Aquaculture but are also farmers and farm workers,Female,0
ABRA,Oyster,Aquaculture but are also farmers and farm workers,Female,0
ABRA,Mussel,Aquaculture but are also farmers and farm workers,Female,0
ABRA,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
ABRA,Other species,Aquaculture but are also farmers and farm workers,Female,1
AGUSAN DEL SUR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,3
AGUSAN DEL SUR,Tilapia,Aquaculture but are also farmers and farm workers,Female,69
AGUSAN DEL SUR,Prawn,Aquaculture but are also farmers and farm workers,Female,0
AGUSAN DEL SUR,Oyster,Aquaculture but are also farmers and farm workers,Female,0
AGUSAN DEL SUR,Mussel,Aquaculture but are also farmers and farm workers,Female,0
AGUSAN DEL SUR,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
AGUSAN DEL SUR,Other species,Aquaculture but are also farmers and farm workers,Female,21
CAMARINES SUR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,8
CAMARINES SUR,Tilapia,Aquaculture but are also farmers and farm workers,Female,103
CAMARINES SUR,Prawn,Aquaculture but are also farmers and farm workers,Female,8
CAMARINES SUR,Oyster,Aquaculture but are also farmers and farm workers,Female,59
CAMARINES SUR,Mussel,Aquaculture but are also farmers and farm workers,Female,9
CAMARINES SUR,Seaweed,Aquaculture but are also farmers and farm workers,Female,166
CAMARINES SUR,Other species,Aquaculture but are also farmers and farm workers,Female,23
DAVAO ORIENTAL,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,10
DAVAO ORIENTAL,Tilapia,Aquaculture but are also farmers and farm workers,Female,29
DAVAO ORIENTAL,Prawn,Aquaculture but are also farmers and farm workers,Female,0
DAVAO ORIENTAL,Oyster,Aquaculture but are also farmers and farm workers,Female,0
DAVAO ORIENTAL,Mussel,Aquaculture but are also farmers and farm workers,Female,0
DAVAO ORIENTAL,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
DAVAO ORIENTAL,Other species,Aquaculture but are also farmers and farm workers,Female,3
EASTERN SAMAR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,3
EASTERN SAMAR,Tilapia,Aquaculture but are also farmers and farm workers,Female,4
EASTERN SAMAR,Prawn,Aquaculture but are also farmers and farm workers,Female,0
EASTERN SAMAR,Oyster,Aquaculture but are also farmers and farm workers,Female,2
EASTERN SAMAR,Mussel,Aquaculture but are also farmers and farm workers,Female,0
EASTERN SAMAR,Seaweed,Aquaculture but are also farmers and farm workers,Female,1
EASTERN SAMAR,Other species,Aquaculture but are also farmers and farm workers,Female,8
IFUGAO,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
IFUGAO,Tilapia,Aquaculture but are also farmers and farm workers,Female,143
IFUGAO,Prawn,Aquaculture but are also farmers and farm workers,Female,8
IFUGAO,Oyster,Aquaculture but are also farmers and farm workers,Female,0
IFUGAO,Mussel,Aquaculture but are also farmers and farm workers,Female,0
IFUGAO,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
IFUGAO,Other species,Aquaculture but are also farmers and farm workers,Female,2
KALINGA,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
KALINGA,Tilapia,Aquaculture but are also farmers and farm workers,Female,44
KALINGA,Prawn,Aquaculture but are also farmers and farm workers,Female,0
KALINGA,Oyster,Aquaculture but are also farmers and farm workers,Female,0
KALINGA,Mussel,Aquaculture but are also farmers and farm workers,Female,0
KALINGA,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
KALINGA,Other species,Aquaculture but are also farmers and farm workers,Female,0
MASBATE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,20
MASBATE,Tilapia,Aquaculture but are also farmers and farm workers,Female,21
MASBATE,Prawn,Aquaculture but are also farmers and farm workers,Female,21
MASBATE,Oyster,Aquaculture but are also farmers and farm workers,Female,13
MASBATE,Mussel,Aquaculture but are also farmers and farm workers,Female,1
MASBATE,Seaweed,Aquaculture but are also farmers and farm workers,Female,11
MASBATE,Other species,Aquaculture but are also farmers and farm workers,Female,7
MOUNTAIN PROVINCE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
MOUNTAIN PROVINCE,Tilapia,Aquaculture but are also farmers and farm workers,Female,80
MOUNTAIN PROVINCE,Prawn,Aquaculture but are also farmers and farm workers,Female,0
MOUNTAIN PROVINCE,Oyster,Aquaculture but are also farmers and farm workers,Female,0
MOUNTAIN PROVINCE,Mussel,Aquaculture but are also farmers and farm workers,Female,0
MOUNTAIN PROVINCE,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
MOUNTAIN PROVINCE,Other species,Aquaculture but are also farmers and farm workers,Female,8
COTABATO (NORTH COTABATO),Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,1
COTABATO (NORTH COTABATO),Tilapia,Aquaculture but are also farmers and farm workers,Female,355
COTABATO (NORTH COTABATO),Prawn,Aquaculture but are also farmers and farm workers,Female,1
COTABATO (NORTH COTABATO),Oyster,Aquaculture but are also farmers and farm workers,Female,0
COTABATO (NORTH COTABATO),Mussel,Aquaculture but are also farmers and farm workers,Female,4
COTABATO (NORTH COTABATO),Seaweed,Aquaculture but are also farmers and farm workers,Female,0
COTABATO (NORTH COTABATO),Other species,Aquaculture but are also farmers and farm workers,Female,98
NORTHERN SAMAR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,2
NORTHERN SAMAR,Tilapia,Aquaculture but are also farmers and farm workers,Female,6
NORTHERN SAMAR,Prawn,Aquaculture but are also farmers and farm workers,Female,1
NORTHERN SAMAR,Oyster,Aquaculture but are also farmers and farm workers,Female,0
NORTHERN SAMAR,Mussel,Aquaculture but are also farmers and farm workers,Female,0
NORTHERN SAMAR,Seaweed,Aquaculture but are also farmers and farm workers,Female,15
NORTHERN SAMAR,Other species,Aquaculture but are also farmers and farm workers,Female,96
ROMBLON,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,9
ROMBLON,Tilapia,Aquaculture but are also farmers and farm workers,Female,14
ROMBLON,Prawn,Aquaculture but are also farmers and farm workers,Female,4
ROMBLON,Oyster,Aquaculture but are also farmers and farm workers,Female,0
ROMBLON,Mussel,Aquaculture but are also farmers and farm workers,Female,1
ROMBLON,Seaweed,Aquaculture but are also farmers and farm workers,Female,26
ROMBLON,Other species,Aquaculture but are also farmers and farm workers,Female,0
SAMAR (WESTERN SAMAR),Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,6
SAMAR (WESTERN SAMAR),Tilapia,Aquaculture but are also farmers and farm workers,Female,7
SAMAR (WESTERN SAMAR),Prawn,Aquaculture but are also farmers and farm workers,Female,5
SAMAR (WESTERN SAMAR),Oyster,Aquaculture but are also farmers and farm workers,Female,0
SAMAR (WESTERN SAMAR),Mussel,Aquaculture but are also farmers and farm workers,Female,1
SAMAR (WESTERN SAMAR),Seaweed,Aquaculture but are also farmers and farm workers,Female,3
SAMAR (WESTERN SAMAR),Other species,Aquaculture but are also farmers and farm workers,Female,6
SIQUIJOR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
SIQUIJOR,Tilapia,Aquaculture but are also farmers and farm workers,Female,1
SIQUIJOR,Prawn,Aquaculture but are also farmers and farm workers,Female,0
SIQUIJOR,Oyster,Aquaculture but are also farmers and farm workers,Female,0
SIQUIJOR,Mussel,Aquaculture but are also farmers and farm workers,Female,0
SIQUIJOR,Seaweed,Aquaculture but are also farmers and farm workers,Female,2
SIQUIJOR,Other species,Aquaculture but are also farmers and farm workers,Female,1
SULTAN KUDARAT,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,13
SULTAN KUDARAT,Tilapia,Aquaculture but are also farmers and farm workers,Female,157
SULTAN KUDARAT,Prawn,Aquaculture but are also farmers and farm workers,Female,5
SULTAN KUDARAT,Oyster,Aquaculture but are also farmers and farm workers,Female,3
SULTAN KUDARAT,Mussel,Aquaculture but are also farmers and farm workers,Female,4
SULTAN KUDARAT,Seaweed,Aquaculture but are also farmers and farm workers,Female,2
SULTAN KUDARAT,Other species,Aquaculture but are also farmers and farm workers,Female,17
SURIGAO DEL NORTE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,7
SURIGAO DEL NORTE,Tilapia,Aquaculture but are also farmers and farm workers,Female,4
SURIGAO DEL NORTE,Prawn,Aquaculture but are also farmers and farm workers,Female,2
SURIGAO DEL NORTE,Oyster,Aquaculture but are also farmers and farm workers,Female,1
SURIGAO DEL NORTE,Mussel,Aquaculture but are also farmers and farm workers,Female,0
SURIGAO DEL NORTE,Seaweed,Aquaculture but are also farmers and farm workers,Female,4
SURIGAO DEL NORTE,Other species,Aquaculture but are also farmers and farm workers,Female,4
SURIGAO DEL SUR,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,11
SURIGAO DEL SUR,Tilapia,Aquaculture but are also farmers and farm workers,Female,20
SURIGAO DEL SUR,Prawn,Aquaculture but are also farmers and farm workers,Female,12
SURIGAO DEL SUR,Oyster,Aquaculture but are also farmers and farm workers,Female,5
SURIGAO DEL SUR,Mussel,Aquaculture but are also farmers and farm workers,Female,2
SURIGAO DEL SUR,Seaweed,Aquaculture but are also farmers and farm workers,Female,10
SURIGAO DEL SUR,Other species,Aquaculture but are also farmers and farm workers,Female,6
ZAMBOANGA DEL NORTE,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,14
ZAMBOANGA DEL NORTE,Tilapia,Aquaculture but are also farmers and farm workers,Female,28
ZAMBOANGA DEL NORTE,Prawn,Aquaculture but are also farmers and farm workers,Female,18
ZAMBOANGA DEL NORTE,Oyster,Aquaculture but are also farmers and farm workers,Female,9
ZAMBOANGA DEL NORTE,Mussel,Aquaculture but are also farmers and farm workers,Female,11
ZAMBOANGA DEL NORTE,Seaweed,Aquaculture but are also farmers and farm workers,Female,9
ZAMBOANGA DEL NORTE,Other species,Aquaculture but are also farmers and farm workers,Female,24
SARANGANI,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,7
SARANGANI,Tilapia,Aquaculture but are also farmers and farm workers,Female,12
SARANGANI,Prawn,Aquaculture but are also farmers and farm workers,Female,4
SARANGANI,Oyster,Aquaculture but are also farmers and farm workers,Female,0
SARANGANI,Mussel,Aquaculture but are also farmers and farm workers,Female,0
SARANGANI,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
SARANGANI,Other species,Aquaculture but are also farmers and farm workers,Female,1
APAYAO,Bangus/Milkfish,Aquaculture but are also farmers and farm workers,Female,0
APAYAO,Tilapia,Aquaculture but are also farmers and farm workers,Female,61
APAYAO,Prawn,Aquaculture but are also farmers and farm workers,Female,0
APAYAO,Oyster,Aquaculture but are also farmers and farm workers,Female,0
APAYAO,Mussel,Aquaculture but are also farmers and farm workers,Female,1
APAYAO,Seaweed,Aquaculture but are also farmers and farm workers,Female,0
APAYAO,Other species,Aquaculture but are also farmers and farm workers,Female,2
